text,label
Teri soch hi gandi hai बहुत बकवास waste of space,1
Keep it up तुमने अच्छा किया Great job,0
Chup ho ja चुप हो जा waste of space,1
Tumne accha kiya तुम बहुत अच्छे हो You are amazing,0
Apna kaam dekh तू लूज़र है waste of space,1
Keep it up तुमने अच्छा किया Proud of you,0
Tere jaise log गंदी सोच you idiot,1
Tum bahut ache ho आपका काम सराहनीय है You are amazing,0
Teri soch hi gandi hai गंदी सोच you fool,1
Shabaash तुमने अच्छा किया Proud of you,0
Tere jaise log बहुत बकवास shut up,1
Tum bahut ache ho बहुत अच्छा किया Proud of you,0
Teri soch hi gandi hai तू लूज़र है get lost,1
Tum awesome ho बहुत बढ़िया Superb,0
Teri soch hi gandi hai चुप हो जा shut up,1
Tum awesome ho बहुत अच्छा किया Nice effort,0
Bohot stupid ho चुप हो जा you loser,1
Tumne accha kiya तुमने अच्छा किया Superb,0
Teri soch hi gandi hai तू हरामी है worst person,1
Shabaash आपका काम सराहनीय है Well done,0
Apna kaam dekh बहुत बकवास you idiot,1
Keep it up बहुत अच्छा किया Nice effort,0
Bohot stupid ho बहुत बकवास shut up,1
Tum awesome ho बहुत बढ़िया You are amazing,0
Kya bakwaas kar rahe ho गंदी सोच get lost,1
Tum awesome ho तुम बहुत अच्छे हो Proud of you,0
Apna kaam dekh चुप हो जा get lost,1
Aapka kaam pasand aaya शाबाश You are amazing,0
Bohot stupid ho तू हरामी है waste of space,1
Aapka kaam pasand aaya तुमने अच्छा किया You are amazing,0
Apna kaam dekh तेरा दिमाग खराब है shut up,1
Shabaash बहुत बढ़िया Proud of you,0
Tu pagal hai हरामी लोगों की कोई जगह नहीं waste of space,1
Keep it up आपका काम सराहनीय है Proud of you,0
Tu pagal hai तेरा दिमाग खराब है shut up,1
Tum bahut ache ho तुम बहुत अच्छे हो You are amazing,0
Tere jaise log तू हरामी है waste of space,1
Shabaash बहुत बढ़िया Superb,0
Teri soch hi gandi hai हरामी लोगों की कोई जगह नहीं you idiot,1
Tum bahut ache ho तुमने अच्छा किया Well done,0
Tere jaise log गंदी सोच you loser,1
